territori,tipus_de_territori,anys,edat_mitjana.espanya,edat_mitjana.resta de la unio europea,edat_mitjana.resta del mon
barcelona,municipi,1997,43.32376794,41.9414097,32.99814867
barcelona,municipi,1998,43.50189689,41.25545255,32.67634371
barcelona,municipi,1999,43.77756644,40.81533231,32.48814122
barcelona,municipi,2000,44.0269762,40.33433997,32.14361146
barcelona,municipi,2001,44.31718089,39.24046458,31.45333697
barcelona,municipi,2002,44.51043911,37.19833908,31.06700371
barcelona,municipi,2003,44.80827157,36.10706371,30.93472077
barcelona,municipi,2004,45.09822827,35.60944664,31.0107081
barcelona,municipi,2005,45.39967719,34.82311043,31.32640468
barcelona,municipi,2006,45.59865281,34.3216967,31.59828746
barcelona,municipi,2007,45.78006455,33.58148753,31.55772193
barcelona,municipi,2008,45.93560773,33.45169018,31.64172918
barcelona,municipi,2009,46.06181731,33.63536953,31.67924368
barcelona,municipi,2010,46.12009807,33.73076521,31.92148861
barcelona,municipi,2011,46.20886281,33.95216982,32.1475168
barcelona,municipi,2012,46.31852917,34.23960098,32.40795591
barcelona,municipi,2013,46.44355269,34.56192024,32.74271641
barcelona,municipi,2014,46.54101405,34.86826289,33.10784342
barcelona,municipi,2015,46.54920616,35.00118685,33.21927486
barcelona,municipi,2016,46.60171,34.98682828,33.57209693
barcelona,municipi,2017,46.69158722,34.94807461,33.70630323
barcelona,municipi,2018,46.79206758,34.98797106,33.75968743
barcelona,municipi,2019,46.94801333,35.02358561,33.95885428
barcelona,municipi,2020,47.16998078,35.0124519,33.95284047
barcelona,municipi,2021,47.27445182,35.18269962,34.4913339
barcelona,municipi,2022,47.44215425,35.56721424,34.73344583
barcelona,municipi,2023,47.49387001,35.65654416,34.82200016
ciutat vella,districte,1997,48.00365124,37.29085697,30.83211669
ciutat vella,districte,1998,47.83993832,36.61199414,30.83172518
ciutat vella,districte,1999,47.95308686,36.02495969,30.87166329
ciutat vella,districte,2000,47.98445127,35.1635419,30.90835548
ciutat vella,districte,2001,48.14006572,34.72424812,30.93354164
ciutat vella,districte,2002,47.94354885,33.77549724,31.03762275
ciutat vella,districte,2003,47.97178591,33.5034444,31.25749694
ciutat vella,districte,2004,47.93947932,33.60490184,31.44634358
ciutat vella,districte,2005,48.03538029,33.18305369,31.81514351
ciutat vella,districte,2006,47.84651934,32.70825644,31.96171266
ciutat vella,districte,2007,47.77721509,32.32010605,31.71475496
ciutat vella,districte,2008,47.62208743,32.56533456,31.83904405
ciutat vella,districte,2009,47.44433259,32.83842525,31.84491044
ciutat vella,districte,2010,47.13344088,32.83982479,31.88142898
ciutat vella,districte,2011,46.88919716,32.85319526,31.99178471
ciutat vella,districte,2012,46.72273079,33.18689119,32.23475422
ciutat vella,districte,2013,46.78348154,33.56000047,32.5121061
ciutat vella,districte,2014,46.6942087,33.88747572,32.81771951
ciutat vella,districte,2015,46.49220431,33.87122305,33.0245808
ciutat vella,districte,2016,46.33252735,33.70201753,33.2946224
ciutat vella,districte,2017,46.151545,33.69810593,33.46018008
ciutat vella,districte,2018,46.10865046,33.69169868,33.52816013
ciutat vella,districte,2019,46.20170806,33.79589916,33.74200809
ciutat vella,districte,2020,46.34051841,33.98262132,33.55465598
ciutat vella,districte,2021,46.20480566,34.24096649,34.07700914
ciutat vella,districte,2022,46.10851301,34.825494140000004,34.49884288
ciutat vella,districte,2023,45.72043474,34.79806346,34.7618037
el raval,barri,1997,48.37836684,38.3826009,30.24345751
el raval,barri,1998,48.2377939,38.20851522,30.2269652
el raval,barri,1999,48.39042606,38.01245684,30.3409918
