territori,tipus_de_territori,anys,sense estudis_espanya,sense estudis_resta de la unio europea,sense estudis_resta del mon,"estudis primaris, certificat d'escolaritat, egb_espanya","estudis primaris, certificat d'escolaritat, egb_resta de la unio europea","estudis primaris, certificat d'escolaritat, egb_resta del mon","batxillerat elemental, graduat escolar, eso, fpi_espanya","batxillerat elemental, graduat escolar, eso, fpi_resta de la unio europea","batxillerat elemental, graduat escolar, eso, fpi_resta del mon","batxillerat superior, bup, cou, fpii, cfgm grau mitja_espanya","batxillerat superior, bup, cou, fpii, cfgm grau mitja_resta de la unio europea","batxillerat superior, bup, cou, fpii, cfgm grau mitja_resta del mon","estudis universitaris, cfgs grau superior_espanya","estudis universitaris, cfgs grau superior_resta de la unio europea","estudis universitaris, cfgs grau superior_resta del mon"
barcelona,municipi,1997,197608,223,1422,336150,790,3355,237025,671,1655,271215,2120,4178,206284,2658,3678
barcelona,municipi,1998,191008,248,1763,334619,901,4513,238080,740,1994,272685,2361,5264,208239,3127,4463
barcelona,municipi,1999,182658,252,2009,329548,1024,5849,237113,798,2334,271602,2571,6454,208905,3613,5433
barcelona,municipi,2000,173543,249,2219,322495,1118,7375,234735,843,2943,269841,2785,8101,210007,4269,6812
barcelona,municipi,2001,164884,242,2782,314519,1209,13425,231975,967,6962,266648,3207,14447,211097,5360,11395
barcelona,municipi,2002,156463,287,4035,278937,1252,22354,249024,1703,15444,315745,5616,25078,226692,7266,17472
barcelona,municipi,2003,149178,285,4412,268955,1485,35253,249492,2241,22702,313882,6869,32262,230221,10242,25873
barcelona,municipi,2004,140291,284,4404,260172,1853,42100,247628,2858,26533,303974,8025,35393,234369,13468,31825
barcelona,municipi,2005,133815,273,4689,251959,2409,49328,246318,3689,30673,295717,9471,38606,238721,17048,36760
barcelona,municipi,2006,127031,255,4869,243675,2875,55684,245755,4630,33972,289500,10927,40862,245415,20565,40013
barcelona,municipi,2007,120485,389,3994,235478,5292,51535,244499,6912,32108,284146,14565,36219,250782,26053,34901
barcelona,municipi,2008,118910,427,3942,228562,6388,56003,245539,8437,37031,280516,17039,38430,255792,31039,38156
barcelona,municipi,2009,112169,415,4173,218484,6418,59246,248886,8884,41160,278234,18439,39582,261199,34963,42417
barcelona,municipi,2010,104108,332,3988,209733,5560,55842,253616,8219,39698,283822,17854,36805,270322,35907,40650
barcelona,municipi,2011,96094,312,4189,204442,4956,56557,256188,7192,39331,287665,16155,35861,280885,34515,41635
barcelona,municipi,2012,88608,292,4163,199553,4775,54548,259604,7196,39993,303486,16711,36152,292323,36917,44108
barcelona,municipi,2013,83400,281,3646,193962,4650,50594,258439,7297,38413,302747,17537,35247,298769,40139,44756
barcelona,municipi,2014,78729,274,3387,189101,4719,47352,258091,7131,36361,301362,17790,33177,307001,41977,43122
barcelona,municipi,2015,74213,272,3222,186296,4405,44333,259346,6904,33676,303810,17733,30490,318534,43017,42580
barcelona,municipi,2016,42917,57,519,213916,4504,46467,253761,6606,33849,303977,17834,31142,326796,45326,45786
barcelona,municipi,2017,38840,57,495,205258,4193,43506,255114,7421,39210,303127,18285,34290,331212,48895,54648
barcelona,municipi,2018,35136,53,533,196720,4034,42289,255712,7843,42432,298959,18401,36725,338744,51535,59444
barcelona,municipi,2019,31663,66,577,188517,4364,43834,249415,8684,47276,295837,20651,42376,345250,58208,65966
barcelona,municipi,2020,28615,70,616,180696,4325,44962,253707,9329,53994,294115,21560,48338,350651,61543,71575
barcelona,municipi,2021,24747,68,613,174939,4072,45053,250153,8866,57639,295608,20576,52714,353213,57942,79241
barcelona,municipi,2022,21810,63,558,169034,4123,40964,248182,9158,55764,294923,20934,50787,357753,61041,76652
barcelona,municipi,2023,18976,57,584,163008,3805,41370,249719,8969,61604,286422,20447,58834,364564,62554,87880
ciutat vella,districte,1997,16707,31,740,23836,112,1126,11219,61,369,9874,134,809,5754,244,478
ciutat vella,districte,1998,16111,44,971,23868,137,1566,11287,75,429,10114,166,1011,5956,339,595
ciutat vella,districte,1999,15342,46,1099,23359,152,2052,11180,83,538,10127,206,1247,6045,406,757
ciutat vella,districte,2000,14349,55,1211,22586,203,2592,10966,96,646,10133,254,1484,6332,547,959
ciutat vella,districte,2001,13407,57,1588,21722,246,4810,10841,131,1459,10093,344,2615,6590,770,1763
ciutat vella,districte,2002,12461,66,1957,19933,286,8738,11471,268,3401,11413,706,4243,7125,1146,2873
ciutat vella,districte,2003,11674,74,2065,19033,339,13003,11354,418,5092,11279,942,5158,7471,1677,4154
ciutat vella,districte,2004,10686,75,1943,18204,418,14441,11197,582,5961,11094,1145,5716,7869,2223,4818
ciutat vella,districte,2005,9971,69,1807,17440,576,16000,11076,782,6925,10906,1436,6002,8193,2800,5542
ciutat vella,districte,2006,9249,68,1728,16585,722,16601,11074,1023,7163,10870,1724,5872,8601,3465,5778
ciutat vella,districte,2007,8595,111,1383,15889,1222,14511,11117,1490,6792,10845,2348,5408,8883,4555,5176
ciutat vella,districte,2008,8180,109,1242,15107,1278,13720,11230,1679,6819,10908,2806,5508,9105,5366,5225
ciutat vella,districte,2009,7555,95,1110,14128,1223,12439,11514,1689,6471,10922,3197,5108,9331,6053,5309
ciutat vella,districte,2010,6968,46,1001,13358,814,10811,11873,1413,5509,11126,3037,4237,9685,6225,4834
ciutat vella,districte,2011,6379,43,1104,12835,727,11109,11871,1151,5486,11179,2852,4110,10218,5796,4909
ciutat vella,districte,2012,5799,47,1210,12426,687,11136,12050,1161,5677,11443,3079,4105,10645,6327,5271
ciutat vella,districte,2013,5311,40,1031,11889,666,10829,11826,1201,5706,11123,3314,4096,10707,6988,5350
ciutat vella,districte,2014,4877,34,940,11339,660,10073,11674,1186,5379,10782,3443,3813,10835,7420,5279
ciutat vella,districte,2015,4533,37,868,11240,606,9611,11662,1129,5213,10868,3468,3634,11204,7762,5427
ciutat vella,districte,2016,2366,8,114,12963,650,9975,11374,1056,5330,10872,3546,3693,11551,8174,6089
ciutat vella,districte,2017,2068,9,102,12254,621,9126,11520,1268,6379,10692,3573,4042,11595,8790,7285
ciutat vella,districte,2018,1805,10,121,11576,600,8910,11420,1326,6776,10433,3435,4323,11672,9066,7864
ciutat vella,districte,2019,1582,7,127,10961,673,9389,11165,1498,7664,10330,3981,5076,11711,10102,8667
ciutat vella,districte,2020,1394,5,124,10366,639,9845,11296,1554,9224,10245,4015,5822,11723,10202,9050
ciutat vella,districte,2021,1177,NA,125,10096,542,9999,11389,1452,10205,10303,3728,6675,11752,9144,10551
ciutat vella,districte,2022,1007,5,125,9681,543,8999,11371,1424,9671,10313,3560,6322,11702,9179,9919
ciutat vella,districte,2023,853,5,132,9323,502,8745,11353,1346,10280,10076,3252,7077,11799,8899,10479
el raval,barri,1997,7407,11,390,10300,49,655,4296,24,224,3453,45,435,1837,79,218
el raval,barri,1998,7146,19,550,10359,54,915,4283,30,244,3546,57,557,1917,107,282
el raval,barri,1999,6787,17,631,10082,57,1231,4234,31,322,3579,65,667,1955,125,367
el raval,barri,2000,6316,15,703,9691,69,1549,4155,34,382,3577,74,793,2077,162,473
el raval,barri,2001,5911,13,944,9322,76,2806,4122,45,747,3564,104,1279,2173,211,798
el raval,barri,2002,5451,20,1154,8545,99,4248,4426,107,1775,4185,241,2005,2384,312,1268
el raval,barri,2003,5038,22,1186,8099,114,6517,4347,160,2613,4120,298,2392,2557,467,1758
el raval,barri,2004,4568,17,1056,7727,142,6840,4278,209,2958,4025,376,2439,2724,670,1999
el raval,barri,2005,4223,15,924,7473,166,7630,4202,268,3321,3996,484,2454,2859,819,2268
el raval,barri,2006,3848,15,853,7053,192,8091,4177,327,3426,3943,562,2405,3089,1028,2286
el raval,barri,2007,3546,18,723,6774,358,7215,4221,479,2985,3978,740,2042,3260,1409,2025
el raval,barri,2008,3330,18,715,6526,391,7462,4308,570,3299,4045,865,2241,3398,1645,2091
el raval,barri,2009,3099,15,633,6217,378,7246,4490,590,3487,4056,986,2300,3528,1892,2170
el raval,barri,2010,2873,12,639,5946,378,7044,4662,567,3362,4176,998,2147,3632,1910,2072
el raval,barri,2011,2636,11,735,5750,345,7551,4712,442,3427,4177,947,2133,3819,1757,2110
el raval,barri,2012,2412,21,874,5649,349,7914,4843,462,3663,4322,1029,2209,3951,1910,2288
el raval,barri,2013,2203,15,752,5457,338,7871,4757,452,3744,4217,1122,2224,4000,2093,2364
el raval,barri,2014,2039,14,671,5299,315,7384,4808,423,3623,4100,1145,2046,4069,2174,2263
el raval,barri,2015,1920,14,608,5348,296,7062,4894,411,3505,4172,1163,1928,4235,2246,2241
el raval,barri,2016,948,NA,70,6115,303,7344,4785,373,3623,4179,1168,1995,4358,2387,2546
el raval,barri,2017,833,NA,65,5805,279,6609,4924,439,4288,4130,1173,2182,4391,2609,3018
el raval,barri,2018,721,NA,75,5496,247,6012,4910,463,4415,4066,1146,2296,4531,2807,3227
el raval,barri,2019,632,NA,70,5210,264,5831,4785,534,4683,4017,1320,2575,4528,3140,3492
el raval,barri,2020,555,NA,62,4934,252,5410,4858,522,5046,3977,1356,2732,4469,3200,3654
el raval,barri,2021,472,NA,57,4858,217,5350,4996,487,5356,4027,1268,3044,4494,2824,4134
el raval,barri,2022,409,NA,60,4667,204,4794,4979,472,4969,4077,1188,2787,4452,2817,3740
el raval,barri,2023,351,NA,55,4479,179,4342,4954,463,4844,4005,1044,2993,4495,2671,3889
el barri gotic,barri,1997,2181,6,106,3590,25,153,1808,14,35,2094,37,119,1609,84,111
el barri gotic,barri,1998,2134,9,130,3680,37,205,1835,18,51,2161,44,156,1663,108,138
el barri gotic,barri,1999,2086,16,148,3704,49,275,1845,19,61,2191,55,193,1694,129,165
el barri gotic,barri,2000,1946,28,171,3701,84,346,1817,22,84,2217,74,228,1778,165,198
el barri gotic,barri,2001,1805,31,245,3570,105,881,1791,31,364,2197,92,638,1803,219,467
el barri gotic,barri,2002,1675,30,395,3284,118,2748,1843,60,870,2430,195,1096,1930,328,809
el barri gotic,barri,2003,1587,35,450,3191,139,4109,1858,101,1330,2396,275,1393,1991,482,1203
el barri gotic,barri,2004,1467,42,483,3076,166,5080,1889,154,1722,2393,331,1829,2075,641,1434
el barri gotic,barri,2005,1370,39,507,2927,267,5656,1897,237,2214,2359,419,2144,2109,820,1762
el barri gotic,barri,2006,1305,41,531,2793,354,5747,1902,327,2269,2328,512,2049,2115,983,1857
el barri gotic,barri,2007,1240,78,389,2706,614,4929,1917,486,2586,2319,745,2176,2122,1274,1749
el barri gotic,barri,2008,1158,74,274,2491,627,3951,1873,537,2224,2279,840,1960,2122,1429,1560
el barri gotic,barri,2009,1063,63,229,2226,584,2916,1873,521,1632,2224,961,1448,2111,1567,1380
el barri gotic,barri,2010,961,19,156,2018,213,1707,1892,316,917,2235,767,821,2152,1442,1030
el barri gotic,barri,2011,846,19,160,1892,205,1548,1833,266,805,2250,706,741,2272,1331,1002
el barri gotic,barri,2012,746,15,130,1765,172,1237,1839,254,700,2247,733,624,2362,1344,1056
el barri gotic,barri,2013,682,13,93,1617,166,1021,1782,260,645,2165,757,632,2355,1469,1007
el barri gotic,barri,2014,619,6,79,1408,165,911,1660,271,569,2072,810,612,2322,1654,1012
el barri gotic,barri,2015,563,6,75,1378,145,833,1638,255,548,2030,779,581,2389,1728,1058
el barri gotic,barri,2016,303,5,18,1594,154,858,1583,235,579,2013,818,595,2399,1835,1223
el barri gotic,barri,2017,272,5,15,1512,145,880,1597,296,794,1958,795,666,2354,1954,1420
