territori,tipus_de_territori,anys,habitatges_us_turistic
barcelona,municipi,2014,9606
barcelona,municipi,2015,9606
barcelona,municipi,2016,9606
barcelona,municipi,2017,9606
barcelona,municipi,2018,9581
barcelona,municipi,2019,9547
barcelona,municipi,2020,9530
barcelona,municipi,2021,9391
barcelona,municipi,2022,9402
barcelona,municipi,2023,9818
ciutat vella,districte,2014,604
ciutat vella,districte,2015,604
ciutat vella,districte,2016,602
ciutat vella,districte,2017,602
ciutat vella,districte,2018,607
ciutat vella,districte,2019,607
ciutat vella,districte,2020,607
ciutat vella,districte,2021,605
ciutat vella,districte,2022,616
ciutat vella,districte,2023,648
el raval,barri,2014,180
el raval,barri,2015,180
el raval,barri,2016,177
el raval,barri,2017,177
el raval,barri,2018,179
el raval,barri,2019,191
el raval,barri,2020,191
el raval,barri,2021,189
el raval,barri,2022,199
el raval,barri,2023,212
el barri gotic,barri,2014,184
el barri gotic,barri,2015,184
el barri gotic,barri,2016,188
el barri gotic,barri,2017,188
el barri gotic,barri,2018,194
el barri gotic,barri,2019,192
el barri gotic,barri,2020,193
el barri gotic,barri,2021,193
el barri gotic,barri,2022,194
el barri gotic,barri,2023,201
la barceloneta,barri,2014,69
la barceloneta,barri,2015,69
la barceloneta,barri,2016,68
la barceloneta,barri,2017,68
la barceloneta,barri,2018,66
la barceloneta,barri,2019,65
la barceloneta,barri,2020,64
la barceloneta,barri,2021,64
la barceloneta,barri,2022,64
la barceloneta,barri,2023,64
"sant pere, santa caterina i la ribera",barri,2014,171
"sant pere, santa caterina i la ribera",barri,2015,171
"sant pere, santa caterina i la ribera",barri,2016,169
"sant pere, santa caterina i la ribera",barri,2017,169
"sant pere, santa caterina i la ribera",barri,2018,168
"sant pere, santa caterina i la ribera",barri,2019,159
"sant pere, santa caterina i la ribera",barri,2020,159
"sant pere, santa caterina i la ribera",barri,2021,159
"sant pere, santa caterina i la ribera",barri,2022,159
"sant pere, santa caterina i la ribera",barri,2023,171
eixample,districte,2014,4607
eixample,districte,2015,4607
eixample,districte,2016,4473
eixample,districte,2017,4473
eixample,districte,2018,4471
eixample,districte,2019,4467
eixample,districte,2020,4467
eixample,districte,2021,4403
eixample,districte,2022,4453
eixample,districte,2023,4467
el fort pienc,barri,2014,343
el fort pienc,barri,2015,343
el fort pienc,barri,2016,331
el fort pienc,barri,2017,331
el fort pienc,barri,2018,331
el fort pienc,barri,2019,332
el fort pienc,barri,2020,332
el fort pienc,barri,2021,330
el fort pienc,barri,2022,328
el fort pienc,barri,2023,333
la sagrada familia,barri,2014,794
la sagrada familia,barri,2015,794
la sagrada familia,barri,2016,772
la sagrada familia,barri,2017,772
la sagrada familia,barri,2018,768
la sagrada familia,barri,2019,768
la sagrada familia,barri,2020,765
la sagrada familia,barri,2021,755
la sagrada familia,barri,2022,750
la sagrada familia,barri,2023,750
la dreta de l'eixample,barri,2014,1747
la dreta de l'eixample,barri,2015,1747
la dreta de l'eixample,barri,2016,1653
la dreta de l'eixample,barri,2017,1653
la dreta de l'eixample,barri,2018,1664
la dreta de l'eixample,barri,2019,1660
la dreta de l'eixample,barri,2020,1662
la dreta de l'eixample,barri,2021,1650
