territori,tipus_de_territori,anys,poblacio.espanya,poblacio.resta de la unio europea,poblacio.resta del mon
barcelona,municipi,1997,1467063,7409,19108
barcelona,municipi,1998,1474740,8465,23713
barcelona,municipi,1999,1465518,9476,28721
barcelona,municipi,2000,1451247,10614,35401
barcelona,municipi,2001,1433986,12593,60317
barcelona,municipi,2002,1435676,18076,100725
barcelona,municipi,2003,1414749,23510,142611
barcelona,municipi,2004,1391575,29262,167345
barcelona,municipi,2005,1372461,36312,190065
barcelona,municipi,2006,1359040,43095,207381
barcelona,municipi,2007,1348056,58463,187430
barcelona,municipi,2008,1341107,69375,204228
barcelona,municipi,2009,1336490,75738,219375
barcelona,municipi,2010,1335882,75065,208498
barcelona,municipi,2011,1335652,69538,209227
barcelona,municipi,2012,1336800,72667,210194
barcelona,municipi,2013,1332044,77349,203258
barcelona,municipi,2014,1330207,79781,192273
barcelona,municipi,2015,1341843,80628,182024
barcelona,municipi,2016,1342637,82924,184647
barcelona,municipi,2017,1336462,88460,199976
barcelona,municipi,2018,1327310,91662,209740
barcelona,municipi,2019,1316842,102933,230366
barcelona,municipi,2020,1305560,108291,252447
barcelona,municipi,2021,1288787,102263,269026
barcelona,municipi,2022,1276405,106466,256886
barcelona,municipi,2023,1268444,107031,284672
ciutat vella,districte,1997,76579,690,4996
ciutat vella,districte,1998,77114,891,6293
ciutat vella,districte,1999,75847,1047,7633
ciutat vella,districte,2000,74140,1348,9020
ciutat vella,districte,2001,72318,1771,14890
ciutat vella,districte,2002,71156,2728,24537
ciutat vella,districte,2003,69231,3735,33552
ciutat vella,districte,2004,67409,4769,37648
ciutat vella,districte,2005,65756,6071,41191
ciutat vella,districte,2006,64563,7458,42254
ciutat vella,districte,2007,63570,10324,37830
ciutat vella,districte,2008,62670,11905,37157
ciutat vella,districte,2009,61794,12963,35232
ciutat vella,districte,2010,61427,12268,30948
ciutat vella,districte,2011,60853,11195,31501
ciutat vella,districte,2012,60316,11912,32106
ciutat vella,districte,2013,58794,12882,31609
ciutat vella,districte,2014,57378,13448,29852
ciutat vella,districte,2015,57480,13750,28908
ciutat vella,districte,2016,56976,14203,29165
ciutat vella,districte,2017,56071,15142,30921
ciutat vella,districte,2018,54768,15300,31959
ciutat vella,districte,2019,53546,17206,34959
ciutat vella,districte,2020,52439,17371,38405
ciutat vella,districte,2021,51938,15682,42013
ciutat vella,districte,2022,51140,15510,39343
ciutat vella,districte,2023,50809,14747,40856
el raval,barri,1997,31117,249,2730
el raval,barri,1998,31302,309,3531
el raval,barri,1999,30650,341,4359
el raval,barri,2000,29760,408,5156
el raval,barri,2001,28989,509,8076
el raval,barri,2002,28617,854,12362
el raval,barri,2003,27648,1136,16781
el raval,barri,2004,26744,1496,17996
el raval,barri,2005,26079,1849,19378
el raval,barri,2006,25425,2237,20015
el raval,barri,2007,25156,3172,17719
el raval,barri,2008,25023,3681,18769
el raval,barri,2009,24944,4065,18947
el raval,barri,2010,24994,4070,18283
el raval,barri,2011,24838,3700,19176
el raval,barri,2012,24818,3966,20194
el raval,barri,2013,24350,4233,20174
el raval,barri,2014,24084,4285,19110
el raval,barri,2015,24498,4347,18293
el raval,barri,2016,24275,4445,18466
el raval,barri,2017,24108,4731,19052
el raval,barri,2018,23732,4884,18890
el raval,barri,2019,23170,5502,19530
el raval,barri,2020,22660,5602,19906
el raval,barri,2021,22691,5033,20949
el raval,barri,2022,22369,4909,19223
el raval,barri,2023,22396,4563,18693
el barri gotic,barri,1997,12675,189,699
el barri gotic,barri,1998,12986,246,890
el barri gotic,barri,1999,13085,308,1081
el barri gotic,barri,2000,13107,438,1256
el barri gotic,barri,2001,12788,561,2944
el barri gotic,barri,2002,12605,835,6373
el barri gotic,barri,2003,12414,1149,9095
el barri gotic,barri,2004,12318,1467,11283
el barri gotic,barri,2005,12085,1949,13067
el barri gotic,barri,2006,11891,2383,13254
el barri gotic,barri,2007,11752,3396,12497
el barri gotic,barri,2008,11252,3721,10515
el barri gotic,barri,2009,10790,3915,8081
el barri gotic,barri,2010,10514,2978,5023
el barri gotic,barri,2011,10323,2709,4643
el barri gotic,barri,2012,10102,2672,4103
el barri gotic,barri,2013,9703,2829,3740
el barri gotic,barri,2014,9126,3081,3525
el barri gotic,barri,2015,9007,3079,3422
el barri gotic,barri,2016,8925,3208,3588
el barri gotic,barri,2017,8726,3392,4113
el barri gotic,barri,2018,8501,3377,5150
el barri gotic,barri,2019,8387,3846,6938
el barri gotic,barri,2020,8270,3891,9541
el barri gotic,barri,2021,8257,3436,11145
el barri gotic,barri,2022,8243,3505,10994
el barri gotic,barri,2023,8385,3281,12784
la barceloneta,barri,1997,14378,35,351
la barceloneta,barri,1998,14425,47,438
la barceloneta,barri,1999,14303,69,565
la barceloneta,barri,2000,14049,120,742
la barceloneta,barri,2001,13732,176,1200
la barceloneta,barri,2002,13388,263,1842
la barceloneta,barri,2003,13047,386,2537
la barceloneta,barri,2004,12617,474,2858
la barceloneta,barri,2005,12248,644,2888
la barceloneta,barri,2006,12010,874,2957
la barceloneta,barri,2007,11740,1259,2626
la barceloneta,barri,2008,11658,1578,2906
la barceloneta,barri,2009,11472,1763,2992
la barceloneta,barri,2010,11443,1887,2759
la barceloneta,barri,2011,11315,1693,2739
la barceloneta,barri,2012,11091,1846,2772
la barceloneta,barri,2013,10755,2009,2726
la barceloneta,barri,2014,10485,2074,2547
la barceloneta,barri,2015,10331,2178,2527
la barceloneta,barri,2016,10263,2290,2512
la barceloneta,barri,2017,9855,2526,2716
la barceloneta,barri,2018,9536,2576,2780
la barceloneta,barri,2019,9246,2868,3058
la barceloneta,barri,2020,8990,2893,3227
la barceloneta,barri,2021,8786,2759,3577
la barceloneta,barri,2022,8472,2598,3270
la barceloneta,barri,2023,8264,2619,3390
"sant pere, santa caterina i la ribera",barri,1997,18409,217,1216
"sant pere, santa caterina i la ribera",barri,1998,18401,289,1434
"sant pere, santa caterina i la ribera",barri,1999,17809,329,1628
"sant pere, santa caterina i la ribera",barri,2000,17224,382,1866
"sant pere, santa caterina i la ribera",barri,2001,16809,525,2670
"sant pere, santa caterina i la ribera",barri,2002,16546,776,3960
"sant pere, santa caterina i la ribera",barri,2003,16122,1064,5139
"sant pere, santa caterina i la ribera",barri,2004,15730,1332,5511
"sant pere, santa caterina i la ribera",barri,2005,15344,1629,5858
"sant pere, santa caterina i la ribera",barri,2006,15237,1964,6028
"sant pere, santa caterina i la ribera",barri,2007,14922,2497,4988
"sant pere, santa caterina i la ribera",barri,2008,14737,2925,4967
"sant pere, santa caterina i la ribera",barri,2009,14588,3220,5212
"sant pere, santa caterina i la ribera",barri,2010,14476,3333,4883
"sant pere, santa caterina i la ribera",barri,2011,14377,3093,4943
"sant pere, santa caterina i la ribera",barri,2012,14305,3428,5037
"sant pere, santa caterina i la ribera",barri,2013,13986,3811,4969
"sant pere, santa caterina i la ribera",barri,2014,13683,4008,4670
"sant pere, santa caterina i la ribera",barri,2015,13644,4146,4666
"sant pere, santa caterina i la ribera",barri,2016,13513,4260,4599
"sant pere, santa caterina i la ribera",barri,2017,13382,4493,5040
"sant pere, santa caterina i la ribera",barri,2018,12999,4463,5139
"sant pere, santa caterina i la ribera",barri,2019,12743,4990,5433
"sant pere, santa caterina i la ribera",barri,2020,12519,4985,5731
"sant pere, santa caterina i la ribera",barri,2021,12204,4454,6342
"sant pere, santa caterina i la ribera",barri,2022,12056,4498,5856
"sant pere, santa caterina i la ribera",barri,2023,11764,4284,5989
eixample,districte,1997,241143,1440,3455
eixample,districte,1998,241903,1676,4263
eixample,districte,1999,240687,1902,5120
eixample,districte,2000,238394,2129,6324
eixample,districte,2001,235379,2618,10581
eixample,districte,2002,236891,4036,16959
eixample,districte,2003,233072,5462,23183
eixample,districte,2004,228406,6779,26813
eixample,districte,2005,224735,8413,30426
eixample,districte,2006,223210,10110,32734
eixample,districte,2007,221058,13171,27853
eixample,districte,2008,220176,15510,29828
eixample,districte,2009,218774,17111,32466
eixample,districte,2010,217727,16813,31117
eixample,districte,2011,217218,15488,31526
eixample,districte,2012,217136,16098,32305
eixample,districte,2013,215636,17370,31905
eixample,districte,2014,214636,18140,30728
eixample,districte,2015,215617,18256,29624
eixample,districte,2016,215114,18909,30475
eixample,districte,2017,213127,20223,33851
eixample,districte,2018,210553,20838,35383
eixample,districte,2019,207597,23283,38231
eixample,districte,2020,204802,24566,41337
eixample,districte,2021,201077,23361,44851
eixample,districte,2022,198457,25029,43318
eixample,districte,2023,195917,25313,47534
el fort pienc,barri,1997,27577,160,397
el fort pienc,barri,1998,27623,183,460
el fort pienc,barri,1999,27610,200,551
el fort pienc,barri,2000,27468,222,660
el fort pienc,barri,2001,27263,267,1173
el fort pienc,barri,2002,27344,458,1924
el fort pienc,barri,2003,27059,622,2702
el fort pienc,barri,2004,26655,769,3101
el fort pienc,barri,2005,26309,972,3636
el fort pienc,barri,2006,26237,1161,4086
el fort pienc,barri,2007,26013,1534,3553
el fort pienc,barri,2008,25825,1910,4401
el fort pienc,barri,2009,25746,2123,5193
el fort pienc,barri,2010,25562,2059,5010
el fort pienc,barri,2011,25569,2014,4790
el fort pienc,barri,2012,25653,2149,4476
el fort pienc,barri,2013,25403,2289,4052
el fort pienc,barri,2014,25265,2385,3830
el fort pienc,barri,2015,25417,2340,3778
el fort pienc,barri,2016,25379,2453,3844
el fort pienc,barri,2017,25063,2699,4356
el fort pienc,barri,2018,24765,2771,4624
el fort pienc,barri,2019,24533,3093,5106
el fort pienc,barri,2020,24267,3298,5901
el fort pienc,barri,2021,23846,3231,6358
el fort pienc,barri,2022,23655,3404,6381
el fort pienc,barri,2023,23354,3445,7600
la sagrada familia,barri,1997,47764,169,540
la sagrada familia,barri,1998,48001,201,702
la sagrada familia,barri,1999,47866,229,918
la sagrada familia,barri,2000,47463,253,1188
la sagrada familia,barri,2001,46924,336,2283
la sagrada familia,barri,2002,47193,497,3809
la sagrada familia,barri,2003,46328,684,4968
la sagrada familia,barri,2004,45439,918,5653
la sagrada familia,barri,2005,44728,1146,6251
la sagrada familia,barri,2006,44445,1390,6676
la sagrada familia,barri,2007,44005,1930,5842
la sagrada familia,barri,2008,43922,2360,6268
la sagrada familia,barri,2009,43659,2579,6723
la sagrada familia,barri,2010,43356,2609,6190
la sagrada familia,barri,2011,43174,2434,6358
la sagrada familia,barri,2012,42898,2474,6712
la sagrada familia,barri,2013,42489,2591,6728
la sagrada familia,barri,2014,42261,2666,6336
la sagrada familia,barri,2015,42395,2761,5923
la sagrada familia,barri,2016,42192,2920,6234
la sagrada familia,barri,2017,41708,3141,6802
la sagrada familia,barri,2018,41116,3343,7197
la sagrada familia,barri,2019,40442,3734,7732
la sagrada familia,barri,2020,39901,4033,8303
la sagrada familia,barri,2021,39292,3939,8923
la sagrada familia,barri,2022,38684,4184,8522
la sagrada familia,barri,2023,38208,4323,9172
la dreta de l'eixample,barri,1997,38277,340,498
la dreta de l'eixample,barri,1998,38494,403,617
la dreta de l'eixample,barri,1999,38303,465,740
la dreta de l'eixample,barri,2000,38119,548,901
la dreta de l'eixample,barri,2001,37772,688,1355
la dreta de l'eixample,barri,2002,38208,1029,2083
la dreta de l'eixample,barri,2003,37786,1353,3085
la dreta de l'eixample,barri,2004,36808,1626,3685
la dreta de l'eixample,barri,2005,36137,1994,4275
la dreta de l'eixample,barri,2006,35871,2387,4598
la dreta de l'eixample,barri,2007,35497,2945,3810
la dreta de l'eixample,barri,2008,35446,3348,3916
la dreta de l'eixample,barri,2009,35456,3741,4193
la dreta de l'eixample,barri,2010,35393,3652,4005
la dreta de l'eixample,barri,2011,35451,3323,4070
la dreta de l'eixample,barri,2012,35526,3529,4212
la dreta de l'eixample,barri,2013,35242,3965,4180
la dreta de l'eixample,barri,2014,35044,4194,4095
la dreta de l'eixample,barri,2015,35155,4245,4151
la dreta de l'eixample,barri,2016,34998,4388,4289
la dreta de l'eixample,barri,2017,34710,4599,4899
la dreta de l'eixample,barri,2018,34108,4664,5064
la dreta de l'eixample,barri,2019,33531,5148,5496
la dreta de l'eixample,barri,2020,33034,5409,5842
la dreta de l'eixample,barri,2021,32116,5073,6889
la dreta de l'eixample,barri,2022,31611,5671,6866
la dreta de l'eixample,barri,2023,31090,5647,7359
l'antiga esquerra de l'eixample,barri,1997,38201,303,669
l'antiga esquerra de l'eixample,barri,1998,38389,339,854
l'antiga esquerra de l'eixample,barri,1999,38033,375,1002
l'antiga esquerra de l'eixample,barri,2000,37370,418,1173
l'antiga esquerra de l'eixample,barri,2001,36807,501,1819
l'antiga esquerra de l'eixample,barri,2002,37148,790,2798
l'antiga esquerra de l'eixample,barri,2003,36238,1077,3817
l'antiga esquerra de l'eixample,barri,2004,35535,1365,4263
l'antiga esquerra de l'eixample,barri,2005,34909,1626,4904
l'antiga esquerra de l'eixample,barri,2006,34601,1911,5215
l'antiga esquerra de l'eixample,barri,2007,34425,2417,4348
l'antiga esquerra de l'eixample,barri,2008,34087,2887,4581
l'antiga esquerra de l'eixample,barri,2009,33711,3180,5019
l'antiga esquerra de l'eixample,barri,2010,33757,3079,4853
l'antiga esquerra de l'eixample,barri,2011,33699,2777,4926
l'antiga esquerra de l'eixample,barri,2012,33733,2945,5033
l'antiga esquerra de l'eixample,barri,2013,33666,3191,4971
l'antiga esquerra de l'eixample,barri,2014,33678,3317,4724
l'antiga esquerra de l'eixample,barri,2015,33877,3270,4506
l'antiga esquerra de l'eixample,barri,2016,33857,3356,4674
l'antiga esquerra de l'eixample,barri,2017,33598,3516,5322
l'antiga esquerra de l'eixample,barri,2018,33258,3652,5613
l'antiga esquerra de l'eixample,barri,2019,32702,4099,6229
l'antiga esquerra de l'eixample,barri,2020,32133,4304,6695
l'antiga esquerra de l'eixample,barri,2021,31607,4128,7303
l'antiga esquerra de l'eixample,barri,2022,31079,4401,6877
l'antiga esquerra de l'eixample,barri,2023,30600,4463,7674
la nova esquerra de l'eixample,barri,1997,53972,309,859
la nova esquerra de l'eixample,barri,1998,53920,360,1001
la nova esquerra de l'eixample,barri,1999,53647,412,1144
la nova esquerra de l'eixample,barri,2000,53212,453,1432
la nova esquerra de l'eixample,barri,2001,52479,542,2395
la nova esquerra de l'eixample,barri,2002,52795,789,3800
la nova esquerra de l'eixample,barri,2003,51961,1058,5139
la nova esquerra de l'eixample,barri,2004,50990,1265,5981
la nova esquerra de l'eixample,barri,2005,50197,1595,6820
la nova esquerra de l'eixample,barri,2006,49965,1916,7326
la nova esquerra de l'eixample,barri,2007,49389,2441,6150
la nova esquerra de l'eixample,barri,2008,49156,2827,6347
la nova esquerra de l'eixample,barri,2009,48820,3015,6689
la nova esquerra de l'eixample,barri,2010,48544,3023,6439
la nova esquerra de l'eixample,barri,2011,48362,2762,6543
la nova esquerra de l'eixample,barri,2012,48345,2771,6754
la nova esquerra de l'eixample,barri,2013,48114,2965,6805
la nova esquerra de l'eixample,barri,2014,47852,3074,6694
la nova esquerra de l'eixample,barri,2015,48202,3041,6415
la nova esquerra de l'eixample,barri,2016,48140,3112,6439
la nova esquerra de l'eixample,barri,2017,47795,3400,7134
la nova esquerra de l'eixample,barri,2018,47407,3495,7351
la nova esquerra de l'eixample,barri,2019,46872,3953,7831
la nova esquerra de l'eixample,barri,2020,46259,4109,8268
la nova esquerra de l'eixample,barri,2021,45465,3840,8590
la nova esquerra de l'eixample,barri,2022,44984,4135,8186
la nova esquerra de l'eixample,barri,2023,44518,4156,8895
sant antoni,barri,1997,35352,159,492
sant antoni,barri,1998,35476,190,629
sant antoni,barri,1999,35228,221,765
sant antoni,barri,2000,34762,235,970
sant antoni,barri,2001,34134,284,1556
sant antoni,barri,2002,34203,473,2545
sant antoni,barri,2003,33700,668,3472
sant antoni,barri,2004,32979,836,4130
sant antoni,barri,2005,32455,1080,4540
sant antoni,barri,2006,32091,1345,4833
sant antoni,barri,2007,31729,1904,4150
sant antoni,barri,2008,31740,2178,4315
sant antoni,barri,2009,31382,2473,4649
sant antoni,barri,2010,31115,2391,4620
sant antoni,barri,2011,30963,2178,4839
sant antoni,barri,2012,30981,2230,5118
sant antoni,barri,2013,30722,2369,5169
sant antoni,barri,2014,30536,2504,5049
sant antoni,barri,2015,30571,2599,4851
sant antoni,barri,2016,30548,2680,4995
sant antoni,barri,2017,30253,2868,5338
sant antoni,barri,2018,29899,2913,5534
sant antoni,barri,2019,29517,3256,5837
sant antoni,barri,2020,29208,3413,6328
sant antoni,barri,2021,28751,3150,6788
sant antoni,barri,2022,28444,3234,6486
sant antoni,barri,2023,28147,3279,6834
sants-montjuic,districte,1997,162991,449,2167
sants-montjuic,districte,1998,163912,541,2839
sants-montjuic,districte,1999,162968,636,3402
sants-montjuic,districte,2000,161036,737,4315
sants-montjuic,districte,2001,158931,907,7546
sants-montjuic,districte,2002,158194,1257,12867
sants-montjuic,districte,2003,155429,1726,18629
sants-montjuic,districte,2004,152756,2256,21983
sants-montjuic,districte,2005,150362,2954,24888
sants-montjuic,districte,2006,149241,3613,27768
sants-montjuic,districte,2007,147952,5377,25028
sants-montjuic,districte,2008,146992,6710,27529
sants-montjuic,districte,2009,146530,7332,29633
sants-montjuic,districte,2010,146732,7552,28683
sants-montjuic,districte,2011,146579,7020,29117
sants-montjuic,districte,2012,146706,7386,29866
sants-montjuic,districte,2013,146048,7927,28752
sants-montjuic,districte,2014,145763,8166,26891
sants-montjuic,districte,2015,147358,8336,25101
sants-montjuic,districte,2016,147304,8532,25338
sants-montjuic,districte,2017,146486,9184,26697
sants-montjuic,districte,2018,145178,9646,27367
sants-montjuic,districte,2019,144184,10938,30339
sants-montjuic,districte,2020,142962,11635,33001
sants-montjuic,districte,2021,141388,11206,34415
sants-montjuic,districte,2022,139816,11453,32485
sants-montjuic,districte,2023,139221,11262,35444
el poble-sec,barri,1997,33022,106,650
el poble-sec,barri,1998,33169,143,907
el poble-sec,barri,1999,32906,177,1191
el poble-sec,barri,2000,32287,209,1499
el poble-sec,barri,2001,31597,271,2646
el poble-sec,barri,2002,31560,399,4567
el poble-sec,barri,2003,30897,531,6730
el poble-sec,barri,2004,30419,713,7656
el poble-sec,barri,2005,29828,1027,8533
el poble-sec,barri,2006,29708,1328,9277
el poble-sec,barri,2007,29486,1781,8179
el poble-sec,barri,2008,29256,2139,8934
el poble-sec,barri,2009,29061,2333,9283
el poble-sec,barri,2010,29069,2483,8834
el poble-sec,barri,2011,28887,2406,9243
el poble-sec,barri,2012,28791,2653,9807
el poble-sec,barri,2013,28429,2907,9663
el poble-sec,barri,2014,28226,3057,9000
el poble-sec,barri,2015,28502,3157,8561
el poble-sec,barri,2016,28364,3257,8507
el poble-sec,barri,2017,27994,3524,8865
el poble-sec,barri,2018,27371,3636,8786
el poble-sec,barri,2019,26961,4184,9284
el poble-sec,barri,2020,26347,4439,9399
el poble-sec,barri,2021,25993,4189,10019
el poble-sec,barri,2022,25612,4231,9296
el poble-sec,barri,2023,25344,4096,9332
