territori,tipus_de_territori,anys,preu_mitja_lloguer
catalunya,comunitat autonoma,2000,NA
catalunya,comunitat autonoma,2001,NA
catalunya,comunitat autonoma,2002,NA
catalunya,comunitat autonoma,2003,NA
catalunya,comunitat autonoma,2004,NA
catalunya,comunitat autonoma,2005,552.0147952
catalunya,comunitat autonoma,2006,602.7587591
catalunya,comunitat autonoma,2007,645.3627677
catalunya,comunitat autonoma,2008,677.9943908
catalunya,comunitat autonoma,2009,650.3302911
catalunya,comunitat autonoma,2010,614.54642
catalunya,comunitat autonoma,2011,599.1649943
catalunya,comunitat autonoma,2012,571.218656
catalunya,comunitat autonoma,2013,542.1825304
catalunya,comunitat autonoma,2014,539.5361585
catalunya,comunitat autonoma,2015,557.4956
catalunya,comunitat autonoma,2016,595.6554984
catalunya,comunitat autonoma,2017,654.8282722
catalunya,comunitat autonoma,2018,698.3645826
catalunya,comunitat autonoma,2019,735.3630201
catalunya,comunitat autonoma,2020,734.3265039
catalunya,comunitat autonoma,2021,724.094353
catalunya,comunitat autonoma,2022,779.8350152
catalunya,comunitat autonoma,2023,835.2154807
metropolita de barcelona,ambit funcional territorial,2000,NA
metropolita de barcelona,ambit funcional territorial,2001,NA
metropolita de barcelona,ambit funcional territorial,2002,NA
metropolita de barcelona,ambit funcional territorial,2003,NA
metropolita de barcelona,ambit funcional territorial,2004,NA
metropolita de barcelona,ambit funcional territorial,2005,596.0024329
metropolita de barcelona,ambit funcional territorial,2006,651.2957628
metropolita de barcelona,ambit funcional territorial,2007,708.6860502
metropolita de barcelona,ambit funcional territorial,2008,749.1657964
metropolita de barcelona,ambit funcional territorial,2009,720.7872332
metropolita de barcelona,ambit funcional territorial,2010,687.2797038
metropolita de barcelona,ambit funcional territorial,2011,670.7592498
metropolita de barcelona,ambit funcional territorial,2012,639.8651167
metropolita de barcelona,ambit funcional territorial,2013,603.66998
metropolita de barcelona,ambit funcional territorial,2014,603.4701485
metropolita de barcelona,ambit funcional territorial,2015,634.952
metropolita de barcelona,ambit funcional territorial,2016,685.3834096
metropolita de barcelona,ambit funcional territorial,2017,753.3120483
metropolita de barcelona,ambit funcional territorial,2018,800.6816096
metropolita de barcelona,ambit funcional territorial,2019,844.2887011
metropolita de barcelona,ambit funcional territorial,2020,842.2256202
metropolita de barcelona,ambit funcional territorial,2021,821.6550974
metropolita de barcelona,ambit funcional territorial,2022,889.3656377
metropolita de barcelona,ambit funcional territorial,2023,960.561363
barcelona,municipi,2000,408.2685322
barcelona,municipi,2001,466.3374181
barcelona,municipi,2002,519.8091215
barcelona,municipi,2003,550.5919991
barcelona,municipi,2004,584.7805514
barcelona,municipi,2005,636.0211689
barcelona,municipi,2006,695.7542757
barcelona,municipi,2007,766.1753198
barcelona,municipi,2008,813.0232616
barcelona,municipi,2009,792.8864333
barcelona,municipi,2010,761.8669324
barcelona,municipi,2011,752.8601403
barcelona,municipi,2012,720.131852
barcelona,municipi,2013,681.55667330000006
barcelona,municipi,2014,688.2341311
barcelona,municipi,2015,734.9363
barcelona,municipi,2016,801.2836764
barcelona,municipi,2017,877.2765183
barcelona,municipi,2018,929.5675992
barcelona,municipi,2019,978.8066339
barcelona,municipi,2020,964.8080379
barcelona,municipi,2021,918.8359577
barcelona,municipi,2022,1026.860575
barcelona,municipi,2023,1136.399961
ciutat vella,districte,2000,325.191895
ciutat vella,districte,2001,350.9249161
ciutat vella,districte,2002,412.0531833
ciutat vella,districte,2003,443.1504516
ciutat vella,districte,2004,469.8563702
ciutat vella,districte,2005,539.2881261
ciutat vella,districte,2006,597.5975604
ciutat vella,districte,2007,660.9569614
ciutat vella,districte,2008,729.5869728
ciutat vella,districte,2009,715.6755064
ciutat vella,districte,2010,678.7898241
ciutat vella,districte,2011,663.0184923
ciutat vella,districte,2012,644.1452034
ciutat vella,districte,2013,618.6695989
ciutat vella,districte,2014,639.1097631
ciutat vella,districte,2015,675.7432
ciutat vella,districte,2016,739.2322591
ciutat vella,districte,2017,828.7861342
ciutat vella,districte,2018,914.041285
ciutat vella,districte,2019,945.5301408
ciutat vella,districte,2020,913.664714
ciutat vella,districte,2021,846.4039719
ciutat vella,districte,2022,1008.350958
ciutat vella,districte,2023,1079.006385
el raval,barri,2000,NA
el raval,barri,2001,NA
el raval,barri,2002,NA
el raval,barri,2003,NA
el raval,barri,2004,NA
el raval,barri,2005,NA
el raval,barri,2006,NA
el raval,barri,2007,NA
el raval,barri,2008,NA
el raval,barri,2009,NA
el raval,barri,2010,NA
el raval,barri,2011,NA
el raval,barri,2012,NA
el raval,barri,2013,NA
el raval,barri,2014,577.8528364
el raval,barri,2015,625.8214
el raval,barri,2016,667.0037911
el raval,barri,2017,748.5794858
el raval,barri,2018,821.8404327
el raval,barri,2019,850.1123432
el raval,barri,2020,833.8682277
el raval,barri,2021,768.7829456
el raval,barri,2022,911.974139
el raval,barri,2023,959.5023488
el barri gotic,barri,2000,NA
el barri gotic,barri,2001,NA
el barri gotic,barri,2002,NA
el barri gotic,barri,2003,NA
el barri gotic,barri,2004,NA
el barri gotic,barri,2005,NA
el barri gotic,barri,2006,NA
el barri gotic,barri,2007,NA
el barri gotic,barri,2008,NA
el barri gotic,barri,2009,NA
el barri gotic,barri,2010,NA
el barri gotic,barri,2011,NA
el barri gotic,barri,2012,NA
el barri gotic,barri,2013,NA
el barri gotic,barri,2014,749.990873
el barri gotic,barri,2015,786.0439
el barri gotic,barri,2016,868.9481911
el barri gotic,barri,2017,973.2701609
el barri gotic,barri,2018,1024.783775
el barri gotic,barri,2019,1097.290124
el barri gotic,barri,2020,1035.777712
